,Unnamed: 0,Page,2NE1_zh.wikipedia.org_all-access_spider,2PM_zh.wikipedia.org_all-access_spider,3C_zh.wikipedia.org_all-access_spider,4minute_zh.wikipedia.org_all-access_spider,52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,5566_zh.wikipedia.org_all-access_spider,91Days_zh.wikipedia.org_all-access_spider,A'N'D_zh.wikipedia.org_all-access_spider,AKB48_zh.wikipedia.org_all-access_spider,ASCII_zh.wikipedia.org_all-access_spider,ASTRO_zh.wikipedia.org_all-access_spider,Ahq_e-Sports_Club_zh.wikipedia.org_all-access_spider,All_your_base_are_belong_to_us_zh.wikipedia.org_all-access_spider,AlphaGo_zh.wikipedia.org_all-access_spider,Android_zh.wikipedia.org_all-access_spider,Angelababy_zh.wikipedia.org_all-access_spider,Apink_zh.wikipedia.org_all-access_spider,Apple_II_zh.wikipedia.org_all-access_spider,As_One_zh.wikipedia.org_all-access_spider,B-PROJECT_zh.wikipedia.org_all-access_spider,B1A4_zh.wikipedia.org_all-access_spider,BDSM_zh.wikipedia.org_all-access_spider,BEAST_zh.wikipedia.org_all-access_spider,BIGBANG_zh.wikipedia.org_all-access_spider,BLACK_PINK_zh.wikipedia.org_all-access_spider,BLEACH_zh.wikipedia.org_all-access_spider,BTOB_zh.wikipedia.org_all-access_spider,Beautiful_Mind_zh.wikipedia.org_all-access_spider,Beyond_zh.wikipedia.org_all-access_spider,Big_zh.wikipedia.org_all-access_spider,Block_B_zh.wikipedia.org_all-access_spider,CHAOS;CHILD_zh.wikipedia.org_all-access_spider,CHAOS;HEAD_zh.wikipedia.org_all-access_spider,CLC_zh.wikipedia.org_all-access_spider,CNBLUE_zh.wikipedia.org_all-access_spider,DIA_zh.wikipedia.org_all-access_spider,Daigo_zh.wikipedia.org_all-access_spider,Dear_My_Friends_zh.wikipedia.org_all-access_spider,Doctors_zh.wikipedia.org_all-access_spider,EGOIST_zh.wikipedia.org_all-access_spider,EXID_zh.wikipedia.org_all-access_spider,EXO_zh.wikipedia.org_all-access_spider,Energy_zh.wikipedia.org_all-access_spider,Eric_Nam_zh.wikipedia.org_all-access_spider,FAIRY_TAIL_zh.wikipedia.org_all-access_spider,FIESTAR_zh.wikipedia.org_all-access_spider,FIRST_CLASS_zh.wikipedia.org_all-access_spider,Facebook_zh.wikipedia.org_all-access_spider
65,65,2015-09-04,11.0,40.0,6.0,14.0,,6.0,,23.0,25.0,9.0,0.0,3.0,2.0,,37.0,9.0,9.0,9.0,14.0,,19.0,12.0,12.0,14.0,,31.0,21.0,3.0,7.0,1.0,9.0,4.0,10.0,8.0,7.0,97.0,4.0,,,4.0,11.0,19.0,3.0,1.0,22.0,6.0,9.0,21.0
66,66,2015-09-05,9.0,47.0,4.0,12.0,,4.0,,31.0,20.0,9.0,1.0,6.0,1.0,,9.0,9.0,22.0,7.0,34.0,,6.0,6.0,19.0,27.0,,31.0,15.0,1.0,16.0,11.0,16.0,2.0,6.0,10.0,22.0,24.0,8.0,,,2.0,11.0,17.0,4.0,4.0,32.0,7.0,7.0,31.0
67,67,2015-09-06,15.0,18.0,3.0,13.0,,9.0,,154.0,14.0,9.0,0.0,4.0,0.0,,30.0,30.0,67.0,9.0,42.0,,15.0,12.0,10.0,3.0,,12.0,16.0,2.0,14.0,8.0,11.0,7.0,1.0,10.0,59.0,221.0,5.0,,,1.0,26.0,10.0,3.0,5.0,12.0,7.0,2.0,31.0
68,68,2015-09-07,5.0,23.0,3.0,22.0,,6.0,,11.0,14.0,26.0,0.0,6.0,2.0,,14.0,9.0,4.0,9.0,58.0,,30.0,9.0,9.0,8.0,,8.0,21.0,1.0,29.0,5.0,6.0,4.0,7.0,10.0,8.0,52.0,7.0,,,7.0,46.0,12.0,13.0,10.0,48.0,9.0,5.0,21.0
69,69,2015-09-08,10.0,6.0,2.0,12.0,,8.0,,16.0,14.0,2.0,90.0,5.0,7.0,,10.0,32.0,12.0,4.0,5.0,,8.0,13.0,31.0,10.0,,8.0,18.0,7.0,8.0,6.0,0.0,7.0,10.0,9.0,24.0,59.0,4.0,,,5.0,11.0,12.0,9.0,3.0,4.0,3.0,8.0,26.0
70,70,2015-09-09,7.0,2.0,9.0,12.0,,5.0,,5.0,13.0,7.0,73.0,7.0,11.0,,14.0,6.0,5.0,5.0,4.0,,11.0,11.0,9.0,13.0,,6.0,28.0,7.0,15.0,4.0,5.0,1.0,10.0,2.0,8.0,37.0,10.0,,,4.0,9.0,12.0,10.0,4.0,13.0,2.0,2.0,24.0
71,71,2015-09-10,4.0,7.0,7.0,6.0,,11.0,,6.0,7.0,15.0,31.0,4.0,1.0,,16.0,5.0,4.0,2.0,6.0,,10.0,7.0,7.0,9.0,,7.0,16.0,2.0,5.0,6.0,8.0,2.0,2.0,5.0,4.0,113.0,2.0,,,2.0,12.0,6.0,2.0,6.0,14.0,6.0,4.0,17.0
72,72,2015-09-11,8.0,16.0,2.0,27.0,,5.0,,7.0,15.0,10.0,20.0,13.0,0.0,,11.0,9.0,7.0,5.0,8.0,,18.0,6.0,6.0,3.0,,19.0,41.0,2.0,12.0,8.0,4.0,2.0,1.0,7.0,17.0,86.0,1.0,,,7.0,33.0,12.0,1.0,1.0,10.0,11.0,4.0,22.0
73,73,2015-09-12,9.0,10.0,3.0,5.0,,10.0,,5.0,12.0,8.0,165.0,1.0,3.0,,20.0,24.0,12.0,10.0,67.0,,17.0,10.0,11.0,14.0,,14.0,29.0,1.0,8.0,9.0,6.0,1.0,9.0,2.0,29.0,196.0,6.0,,,5.0,13.0,15.0,5.0,5.0,31.0,10.0,4.0,30.0
74,74,2015-09-13,10.0,34.0,1.0,7.0,,25.0,,4.0,15.0,2.0,1.0,4.0,1.0,,22.0,23.0,31.0,5.0,86.0,,49.0,6.0,30.0,5.0,,7.0,30.0,0.0,6.0,10.0,10.0,1.0,6.0,19.0,17.0,143.0,3.0,,,3.0,9.0,14.0,3.0,3.0,26.0,4.0,10.0,21.0
75,75,2015-09-14,6.0,14.0,3.0,24.0,,29.0,,9.0,7.0,17.0,1.0,16.0,1.0,,17.0,3.0,6.0,5.0,1.0,,6.0,5.0,6.0,10.0,,10.0,60.0,1.0,9.0,3.0,10.0,2.0,3.0,6.0,14.0,476.0,3.0,,,2.0,14.0,15.0,4.0,4.0,20.0,5.0,3.0,22.0
76,76,2015-09-15,13.0,31.0,1.0,8.0,,3.0,,12.0,15.0,9.0,5.0,5.0,2.0,,23.0,8.0,10.0,8.0,29.0,,30.0,12.0,10.0,10.0,,2.0,54.0,6.0,8.0,6.0,7.0,5.0,17.0,6.0,33.0,87.0,1.0,,,5.0,13.0,14.0,4.0,5.0,8.0,3.0,12.0,33.0
77,77,2015-09-16,16.0,20.0,6.0,9.0,,10.0,,31.0,32.0,24.0,10.0,5.0,2.0,,22.0,9.0,64.0,4.0,9.0,,16.0,16.0,21.0,15.0,,10.0,42.0,2.0,15.0,10.0,5.0,9.0,5.0,3.0,10.0,148.0,8.0,,,2.0,20.0,20.0,6.0,14.0,19.0,8.0,6.0,47.0
78,78,2015-09-17,6.0,23.0,7.0,10.0,,9.0,,11.0,15.0,23.0,0.0,10.0,4.0,,39.0,33.0,14.0,4.0,36.0,,15.0,10.0,14.0,23.0,,13.0,129.0,0.0,10.0,8.0,9.0,3.0,4.0,9.0,14.0,157.0,4.0,,,1.0,22.0,35.0,5.0,2.0,24.0,3.0,7.0,42.0
79,79,2015-09-18,24.0,14.0,1.0,12.0,,16.0,,11.0,23.0,14.0,1.0,6.0,2.0,,26.0,18.0,14.0,12.0,54.0,,23.0,11.0,24.0,20.0,,12.0,32.0,1.0,10.0,4.0,7.0,3.0,12.0,4.0,29.0,217.0,0.0,,,8.0,46.0,24.0,8.0,6.0,15.0,4.0,6.0,51.0
80,80,2015-09-19,9.0,16.0,2.0,19.0,,13.0,,10.0,78.0,14.0,10.0,8.0,6.0,,33.0,17.0,18.0,10.0,35.0,,24.0,12.0,31.0,16.0,,10.0,34.0,2.0,8.0,6.0,3.0,2.0,8.0,34.0,14.0,154.0,2.0,,,2.0,23.0,20.0,4.0,6.0,17.0,15.0,5.0,41.0
81,81,2015-09-20,11.0,34.0,5.0,7.0,,7.0,,21.0,107.0,13.0,9.0,5.0,5.0,,49.0,18.0,21.0,7.0,17.0,,35.0,12.0,16.0,28.0,,6.0,38.0,1.0,25.0,12.0,11.0,4.0,4.0,9.0,13.0,113.0,0.0,,,7.0,69.0,28.0,9.0,3.0,12.0,9.0,5.0,35.0
82,82,2015-09-21,12.0,15.0,2.0,7.0,,22.0,,7.0,25.0,21.0,25.0,47.0,5.0,,30.0,10.0,15.0,5.0,19.0,,18.0,6.0,14.0,24.0,,14.0,205.0,2.0,15.0,5.0,10.0,6.0,8.0,5.0,10.0,78.0,5.0,,,8.0,28.0,22.0,4.0,9.0,55.0,9.0,7.0,48.0
83,83,2015-09-22,8.0,30.0,3.0,18.0,,9.0,,9.0,55.0,24.0,4.0,8.0,6.0,,32.0,23.0,15.0,13.0,27.0,,25.0,13.0,20.0,16.0,,11.0,36.0,1.0,8.0,9.0,46.0,8.0,8.0,17.0,124.0,78.0,1.0,,,9.0,85.0,18.0,12.0,2.0,25.0,9.0,2.0,40.0
84,84,2015-09-23,14.0,13.0,8.0,15.0,,9.0,,5.0,7.0,19.0,2.0,9.0,6.0,,35.0,25.0,9.0,11.0,13.0,,22.0,15.0,15.0,20.0,,8.0,80.0,2.0,25.0,6.0,7.0,3.0,6.0,15.0,43.0,60.0,1.0,,,2.0,78.0,19.0,29.0,7.0,10.0,4.0,5.0,52.0
85,85,2015-09-24,6.0,30.0,5.0,7.0,,17.0,,1.0,41.0,18.0,3.0,7.0,0.0,,29.0,17.0,26.0,2.0,23.0,,11.0,8.0,19.0,33.0,,33.0,57.0,0.0,33.0,9.0,12.0,4.0,6.0,8.0,34.0,70.0,5.0,,,7.0,53.0,23.0,5.0,5.0,15.0,5.0,5.0,51.0
86,86,2015-09-25,6.0,15.0,0.0,9.0,,10.0,,68.0,31.0,13.0,2.0,18.0,3.0,,27.0,27.0,12.0,9.0,19.0,,17.0,10.0,16.0,26.0,,12.0,47.0,3.0,14.0,11.0,10.0,5.0,5.0,8.0,50.0,88.0,2.0,,,4.0,19.0,22.0,5.0,7.0,15.0,6.0,4.0,32.0
87,87,2015-09-26,11.0,25.0,4.0,10.0,,24.0,,9.0,25.0,14.0,8.0,7.0,3.0,,36.0,36.0,24.0,12.0,20.0,,19.0,13.0,12.0,24.0,,8.0,25.0,4.0,9.0,9.0,16.0,4.0,10.0,10.0,46.0,21.0,4.0,,,7.0,26.0,22.0,6.0,7.0,23.0,9.0,4.0,44.0
88,88,2015-09-27,14.0,17.0,1.0,9.0,,13.0,,4.0,22.0,14.0,3.0,13.0,4.0,,474.0,19.0,16.0,13.0,34.0,,10.0,19.0,47.0,28.0,,4.0,52.0,0.0,58.0,7.0,4.0,6.0,18.0,7.0,20.0,75.0,2.0,,,6.0,46.0,22.0,7.0,5.0,16.0,7.0,12.0,27.0
89,89,2015-09-28,6.0,8.0,5.0,14.0,,23.0,,10.0,14.0,15.0,5.0,8.0,8.0,,38.0,7.0,7.0,11.0,44.0,,66.0,9.0,10.0,18.0,,12.0,77.0,2.0,9.0,11.0,5.0,0.0,6.0,11.0,63.0,41.0,4.0,,,5.0,23.0,27.0,2.0,1.0,26.0,5.0,2.0,71.0
90,90,2015-09-29,10.0,12.0,3.0,8.0,,12.0,,44.0,16.0,10.0,88.0,6.0,0.0,,45.0,9.0,14.0,9.0,12.0,,19.0,13.0,11.0,23.0,,6.0,59.0,2.0,89.0,2.0,8.0,4.0,4.0,10.0,54.0,29.0,3.0,,,3.0,29.0,23.0,2.0,5.0,34.0,1.0,8.0,80.0
91,91,2015-09-30,20.0,17.0,0.0,17.0,,2.0,,34.0,22.0,16.0,2.0,12.0,5.0,,32.0,19.0,11.0,6.0,10.0,,19.0,14.0,21.0,17.0,,18.0,28.0,2.0,9.0,2.0,8.0,9.0,4.0,12.0,19.0,91.0,2.0,,,3.0,28.0,28.0,8.0,2.0,19.0,7.0,6.0,80.0
92,92,2015-10-01,7.0,10.0,1.0,6.0,,14.0,,59.0,20.0,13.0,6.0,17.0,2.0,,70.0,35.0,13.0,5.0,20.0,,12.0,12.0,13.0,27.0,,5.0,58.0,0.0,6.0,7.0,9.0,3.0,13.0,6.0,21.0,76.0,4.0,,,3.0,39.0,19.0,5.0,4.0,14.0,3.0,7.0,32.0
93,93,2015-10-02,15.0,21.0,8.0,8.0,,13.0,,53.0,26.0,13.0,6.0,21.0,1.0,,22.0,26.0,16.0,6.0,9.0,,12.0,8.0,15.0,21.0,,25.0,40.0,1.0,14.0,6.0,22.0,5.0,7.0,2.0,27.0,35.0,3.0,,,4.0,373.0,21.0,10.0,4.0,31.0,11.0,7.0,45.0
94,94,2015-10-03,8.0,18.0,2.0,7.0,,25.0,,12.0,21.0,14.0,32.0,171.0,8.0,,35.0,17.0,12.0,9.0,26.0,,39.0,9.0,11.0,41.0,,12.0,74.0,2.0,33.0,6.0,22.0,4.0,6.0,5.0,13.0,15.0,5.0,,,7.0,59.0,21.0,7.0,3.0,38.0,6.0,4.0,44.0
95,95,2015-10-04,15.0,30.0,1.0,5.0,,13.0,,71.0,25.0,17.0,9.0,40.0,5.0,,24.0,22.0,35.0,11.0,22.0,,12.0,20.0,14.0,23.0,,11.0,76.0,3.0,22.0,9.0,16.0,8.0,10.0,9.0,50.0,51.0,6.0,,,5.0,63.0,27.0,7.0,3.0,35.0,11.0,10.0,41.0
96,96,2015-10-05,5.0,13.0,3.0,3.0,,12.0,,26.0,53.0,11.0,39.0,40.0,2.0,,38.0,12.0,7.0,13.0,11.0,,22.0,9.0,7.0,33.0,,15.0,103.0,3.0,15.0,5.0,9.0,2.0,5.0,19.0,12.0,318.0,7.0,,,8.0,19.0,20.0,6.0,7.0,25.0,8.0,7.0,29.0
97,97,2015-10-06,8.0,7.0,0.0,9.0,,11.0,,79.0,22.0,6.0,5.0,49.0,3.0,,266.0,7.0,11.0,7.0,45.0,,12.0,8.0,12.0,17.0,,27.0,30.0,1.0,18.0,4.0,6.0,3.0,9.0,5.0,29.0,50.0,7.0,,,3.0,53.0,27.0,2.0,9.0,14.0,6.0,4.0,49.0
98,98,2015-10-07,8.0,15.0,0.0,5.0,,8.0,,21.0,20.0,25.0,6.0,51.0,3.0,,57.0,28.0,96.0,8.0,7.0,,8.0,20.0,4.0,21.0,,18.0,62.0,0.0,14.0,6.0,5.0,4.0,7.0,11.0,8.0,20.0,38.0,,,3.0,35.0,26.0,5.0,3.0,20.0,4.0,4.0,41.0
99,99,2015-10-08,5.0,23.0,5.0,6.0,,5.0,,80.0,15.0,21.0,4.0,140.0,3.0,,33.0,147.0,9.0,10.0,17.0,,19.0,12.0,10.0,18.0,,7.0,17.0,2.0,5.0,2.0,12.0,2.0,6.0,15.0,12.0,25.0,45.0,,,6.0,14.0,18.0,2.0,4.0,23.0,4.0,7.0,31.0
100,100,2015-10-09,11.0,20.0,3.0,8.0,,30.0,,43.0,32.0,14.0,4.0,15.0,2.0,,51.0,129.0,19.0,4.0,21.0,,8.0,23.0,9.0,20.0,,20.0,41.0,2.0,7.0,5.0,8.0,5.0,5.0,7.0,26.0,5.0,21.0,,,5.0,33.0,19.0,3.0,2.0,22.0,4.0,7.0,54.0
101,101,2015-10-10,165.0,15.0,3.0,8.0,,6.0,,32.0,25.0,15.0,41.0,23.0,3.0,,43.0,34.0,12.0,9.0,20.0,,7.0,8.0,12.0,20.0,,10.0,24.0,0.0,11.0,6.0,7.0,1.0,9.0,11.0,10.0,61.0,29.0,,,3.0,34.0,26.0,8.0,3.0,20.0,3.0,5.0,27.0
102,102,2015-10-11,34.0,9.0,0.0,11.0,,10.0,,72.0,40.0,7.0,6.0,28.0,6.0,,45.0,32.0,10.0,4.0,25.0,,19.0,11.0,3.0,16.0,,6.0,71.0,1.0,8.0,6.0,6.0,0.0,6.0,7.0,12.0,15.0,3.0,,,7.0,78.0,21.0,2.0,5.0,25.0,7.0,2.0,34.0
103,103,2015-10-12,6.0,47.0,2.0,6.0,,10.0,,62.0,26.0,12.0,4.0,55.0,1.0,,25.0,31.0,8.0,5.0,14.0,,9.0,13.0,9.0,19.0,,12.0,75.0,0.0,5.0,3.0,5.0,6.0,7.0,6.0,4.0,47.0,4.0,,,1.0,23.0,19.0,4.0,4.0,16.0,9.0,6.0,42.0
104,104,2015-10-13,13.0,14.0,5.0,7.0,,10.0,,12.0,14.0,23.0,1.0,40.0,1.0,,37.0,91.0,18.0,12.0,10.0,,21.0,4.0,15.0,15.0,,11.0,75.0,4.0,11.0,2.0,13.0,1.0,8.0,6.0,19.0,45.0,7.0,,,7.0,39.0,21.0,7.0,4.0,19.0,5.0,7.0,34.0
105,105,2015-10-14,8.0,11.0,2.0,28.0,,6.0,,6.0,19.0,16.0,1.0,21.0,3.0,,42.0,30.0,9.0,4.0,10.0,,17.0,5.0,13.0,20.0,,9.0,72.0,4.0,10.0,4.0,18.0,5.0,3.0,10.0,16.0,43.0,4.0,,,6.0,11.0,19.0,4.0,0.0,13.0,9.0,6.0,40.0
106,106,2015-10-15,9.0,16.0,5.0,15.0,,8.0,,14.0,28.0,12.0,1.0,13.0,6.0,,39.0,83.0,9.0,10.0,11.0,,10.0,9.0,62.0,16.0,,9.0,89.0,3.0,11.0,1.0,13.0,3.0,24.0,5.0,16.0,39.0,9.0,,,9.0,17.0,21.0,4.0,8.0,14.0,8.0,4.0,37.0
107,107,2015-10-16,11.0,12.0,10.0,8.0,,13.0,,4.0,25.0,16.0,4.0,49.0,5.0,,42.0,41.0,17.0,6.0,8.0,,20.0,11.0,6.0,18.0,,11.0,26.0,1.0,10.0,8.0,9.0,9.0,6.0,9.0,19.0,25.0,13.0,,,2.0,57.0,21.0,6.0,5.0,21.0,3.0,10.0,40.0
108,108,2015-10-17,26.0,7.0,5.0,7.0,,21.0,,69.0,23.0,8.0,65.0,13.0,6.0,,31.0,13.0,11.0,8.0,8.0,,25.0,9.0,14.0,20.0,,9.0,44.0,4.0,9.0,4.0,13.0,4.0,4.0,6.0,24.0,66.0,7.0,,,4.0,29.0,23.0,4.0,6.0,15.0,8.0,7.0,23.0
109,109,2015-10-18,18.0,15.0,6.0,7.0,,29.0,,25.0,35.0,10.0,4.0,10.0,2.0,,34.0,12.0,13.0,11.0,3.0,,24.0,8.0,21.0,17.0,,17.0,63.0,0.0,32.0,10.0,8.0,1.0,5.0,12.0,23.0,32.0,0.0,,,3.0,27.0,14.0,3.0,25.0,13.0,2.0,6.0,28.0
110,110,2015-10-19,3.0,14.0,1.0,12.0,,38.0,,18.0,28.0,18.0,5.0,42.0,5.0,,35.0,49.0,9.0,10.0,37.0,,9.0,4.0,12.0,15.0,,11.0,47.0,3.0,11.0,2.0,20.0,3.0,1.0,7.0,18.0,20.0,3.0,,,5.0,17.0,25.0,2.0,0.0,16.0,9.0,6.0,29.0
111,111,2015-10-20,5.0,12.0,4.0,5.0,,6.0,,3.0,11.0,16.0,4.0,11.0,9.0,,42.0,26.0,14.0,2.0,12.0,,18.0,9.0,17.0,20.0,,9.0,57.0,2.0,14.0,10.0,10.0,4.0,3.0,12.0,9.0,62.0,18.0,,,5.0,12.0,23.0,3.0,3.0,9.0,3.0,5.0,30.0
112,112,2015-10-21,12.0,18.0,4.0,11.0,,22.0,,8.0,25.0,22.0,5.0,8.0,2.0,,26.0,12.0,10.0,3.0,15.0,,23.0,5.0,11.0,21.0,,5.0,149.0,0.0,10.0,3.0,17.0,0.0,9.0,7.0,13.0,30.0,2.0,,,2.0,31.0,17.0,7.0,1.0,16.0,8.0,3.0,32.0
113,113,2015-10-22,6.0,29.0,1.0,3.0,,10.0,,5.0,19.0,12.0,3.0,5.0,2.0,,27.0,13.0,7.0,10.0,10.0,,10.0,8.0,7.0,18.0,,9.0,105.0,5.0,8.0,5.0,7.0,3.0,3.0,16.0,8.0,9.0,0.0,,,5.0,32.0,14.0,8.0,4.0,14.0,6.0,5.0,26.0
114,114,2015-10-23,16.0,39.0,3.0,7.0,,6.0,,12.0,21.0,15.0,3.0,9.0,3.0,,27.0,20.0,19.0,5.0,12.0,,14.0,9.0,7.0,23.0,,9.0,58.0,2.0,8.0,7.0,15.0,3.0,5.0,8.0,20.0,41.0,3.0,,,6.0,32.0,20.0,4.0,3.0,12.0,6.0,7.0,29.0
115,115,2015-10-24,19.0,11.0,13.0,23.0,,11.0,,18.0,28.0,13.0,44.0,12.0,3.0,,43.0,21.0,11.0,9.0,14.0,,12.0,8.0,10.0,18.0,,13.0,39.0,1.0,15.0,4.0,8.0,5.0,7.0,8.0,20.0,7.0,8.0,,,6.0,28.0,26.0,5.0,14.0,24.0,4.0,10.0,33.0
116,116,2015-10-25,9.0,14.0,2.0,6.0,,13.0,,8.0,29.0,16.0,11.0,11.0,3.0,,29.0,441.0,114.0,15.0,10.0,,33.0,35.0,13.0,12.0,,7.0,79.0,2.0,11.0,6.0,11.0,3.0,3.0,2.0,17.0,90.0,3.0,,,6.0,18.0,22.0,5.0,6.0,21.0,6.0,3.0,51.0
117,117,2015-10-26,10.0,28.0,1.0,3.0,,6.0,,45.0,36.0,19.0,2.0,16.0,7.0,,23.0,147.0,17.0,3.0,13.0,,8.0,17.0,10.0,26.0,,13.0,82.0,1.0,13.0,5.0,2.0,1.0,2.0,6.0,14.0,22.0,3.0,,,5.0,20.0,19.0,1.0,3.0,32.0,2.0,1.0,35.0
118,118,2015-10-27,11.0,17.0,3.0,8.0,,8.0,,13.0,63.0,21.0,8.0,11.0,0.0,,30.0,50.0,49.0,7.0,17.0,,22.0,7.0,15.0,21.0,,10.0,29.0,3.0,9.0,5.0,10.0,2.0,5.0,5.0,14.0,41.0,10.0,,,9.0,38.0,20.0,6.0,7.0,43.0,4.0,9.0,36.0
119,119,2015-10-28,11.0,20.0,2.0,8.0,,14.0,,3.0,61.0,23.0,17.0,17.0,3.0,,22.0,23.0,14.0,5.0,12.0,,11.0,11.0,10.0,26.0,,29.0,37.0,0.0,5.0,5.0,8.0,3.0,12.0,7.0,8.0,28.0,5.0,,,2.0,31.0,20.0,4.0,1.0,13.0,7.0,2.0,37.0
120,120,2015-10-29,7.0,17.0,1.0,39.0,,16.0,,19.0,38.0,25.0,4.0,19.0,2.0,,33.0,48.0,11.0,12.0,8.0,,13.0,24.0,11.0,21.0,,15.0,30.0,0.0,12.0,3.0,36.0,3.0,5.0,8.0,43.0,40.0,1.0,,,9.0,20.0,22.0,4.0,7.0,14.0,3.0,7.0,39.0
121,121,2015-10-30,9.0,36.0,10.0,4.0,,16.0,,43.0,38.0,12.0,1.0,15.0,2.0,,34.0,122.0,130.0,10.0,13.0,,12.0,14.0,25.0,28.0,,32.0,20.0,2.0,15.0,5.0,11.0,7.0,4.0,4.0,13.0,42.0,7.0,,,5.0,17.0,27.0,3.0,2.0,27.0,5.0,4.0,77.0
122,122,2015-10-31,10.0,13.0,5.0,10.0,,4.0,,31.0,48.0,15.0,1.0,7.0,3.0,,28.0,33.0,49.0,9.0,6.0,,10.0,5.0,10.0,27.0,,23.0,25.0,2.0,14.0,6.0,10.0,5.0,10.0,2.0,9.0,23.0,4.0,,,6.0,10.0,19.0,3.0,4.0,15.0,2.0,2.0,25.0
123,123,2015-11-01,24.0,11.0,6.0,6.0,,12.0,,15.0,70.0,14.0,1.0,11.0,5.0,,25.0,30.0,17.0,3.0,12.0,,73.0,13.0,13.0,41.0,,13.0,15.0,2.0,6.0,4.0,18.0,3.0,6.0,6.0,7.0,40.0,5.0,,,5.0,69.0,21.0,5.0,1.0,15.0,16.0,6.0,42.0
124,124,2015-11-02,6.0,14.0,2.0,8.0,,7.0,,40.0,30.0,17.0,1.0,15.0,3.0,,43.0,35.0,7.0,51.0,10.0,,40.0,15.0,10.0,15.0,,7.0,14.0,0.0,7.0,5.0,16.0,2.0,5.0,12.0,14.0,46.0,3.0,,,5.0,28.0,32.0,4.0,3.0,13.0,1.0,16.0,28.0
125,125,2015-11-03,6.0,14.0,5.0,9.0,,9.0,,63.0,39.0,16.0,8.0,22.0,1.0,,40.0,14.0,33.0,18.0,8.0,,19.0,15.0,11.0,24.0,,9.0,62.0,0.0,16.0,10.0,15.0,5.0,13.0,2.0,18.0,64.0,4.0,,,9.0,10.0,41.0,3.0,2.0,12.0,10.0,8.0,28.0
126,126,2015-11-04,8.0,14.0,2.0,16.0,,9.0,,27.0,19.0,13.0,2.0,10.0,0.0,,28.0,15.0,16.0,14.0,13.0,,29.0,9.0,22.0,11.0,,5.0,28.0,3.0,5.0,9.0,6.0,1.0,9.0,6.0,488.0,32.0,2.0,,,4.0,24.0,11.0,3.0,3.0,9.0,1.0,9.0,50.0
127,127,2015-11-05,16.0,33.0,2.0,9.0,,8.0,,3.0,38.0,14.0,11.0,6.0,3.0,,27.0,36.0,11.0,15.0,6.0,,28.0,7.0,20.0,18.0,,36.0,37.0,2.0,13.0,5.0,20.0,4.0,4.0,9.0,62.0,34.0,4.0,,,2.0,46.0,24.0,6.0,1.0,9.0,25.0,4.0,18.0
128,128,2015-11-06,13.0,14.0,3.0,8.0,,11.0,,29.0,44.0,12.0,4.0,12.0,3.0,,34.0,45.0,37.0,5.0,12.0,,17.0,3.0,8.0,18.0,,22.0,29.0,1.0,13.0,7.0,8.0,4.0,2.0,3.0,10.0,19.0,2.0,,,2.0,106.0,31.0,2.0,5.0,25.0,6.0,3.0,50.0
129,129,2015-11-07,10.0,13.0,2.0,8.0,,8.0,,20.0,25.0,9.0,4.0,13.0,8.0,,24.0,35.0,51.0,5.0,3.0,,30.0,10.0,12.0,41.0,,20.0,31.0,2.0,12.0,2.0,5.0,4.0,7.0,3.0,28.0,24.0,10.0,,,10.0,27.0,28.0,0.0,19.0,21.0,5.0,7.0,33.0
130,130,2015-11-08,10.0,18.0,6.0,7.0,,17.0,,12.0,32.0,13.0,9.0,21.0,5.0,,27.0,33.0,16.0,7.0,11.0,,14.0,7.0,31.0,19.0,,19.0,15.0,1.0,19.0,12.0,11.0,5.0,5.0,9.0,16.0,12.0,3.0,,,7.0,18.0,29.0,5.0,4.0,14.0,4.0,10.0,95.0
131,131,2015-11-09,6.0,13.0,3.0,5.0,,7.0,,12.0,33.0,18.0,4.0,6.0,4.0,,29.0,9.0,13.0,1.0,3.0,,11.0,9.0,13.0,18.0,,6.0,35.0,1.0,8.0,3.0,10.0,3.0,1.0,9.0,23.0,81.0,4.0,,,1.0,57.0,19.0,4.0,8.0,21.0,6.0,4.0,101.0
132,132,2015-11-10,5.0,11.0,2.0,5.0,,4.0,,2.0,23.0,20.0,0.0,10.0,11.0,,32.0,10.0,11.0,2.0,10.0,,5.0,1.0,11.0,16.0,,7.0,103.0,1.0,15.0,3.0,8.0,1.0,5.0,2.0,11.0,2.0,4.0,,,2.0,21.0,19.0,4.0,3.0,12.0,3.0,3.0,58.0
133,133,2015-11-11,20.0,8.0,1.0,12.0,,11.0,,5.0,16.0,7.0,1.0,8.0,5.0,,19.0,13.0,16.0,8.0,8.0,,6.0,6.0,11.0,25.0,,8.0,80.0,1.0,6.0,3.0,10.0,7.0,3.0,4.0,16.0,43.0,2.0,,,5.0,9.0,25.0,3.0,6.0,10.0,0.0,3.0,54.0
134,134,2015-11-12,6.0,10.0,2.0,8.0,,8.0,,18.0,13.0,15.0,5.0,6.0,2.0,,22.0,10.0,17.0,3.0,7.0,,3.0,9.0,12.0,36.0,,21.0,19.0,9.0,17.0,8.0,7.0,4.0,10.0,5.0,9.0,16.0,1.0,,,2.0,15.0,13.0,5.0,3.0,16.0,4.0,5.0,38.0
